"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"172","462",31300,38240,-1.07263585272461,-1.16906629009301,"aug",0,1,1195.59286872204,32495.592868722,5744.40713127796
"173","463",32050,38700,-0.396880514093262,-0.38260653111804,"aug",0,1,1567.32231611912,33617.3223161191,5082.67768388088
"174","464",31980,38830,-0.459951012365518,-0.160346164451209,"aug",0,1,1575.44998415979,33555.4499841598,5274.55001584021
"175","473",32440,38230,-0.0454877380049587,-1.18616324137508,"aug",0,1,1485.58158393791,33925.5815839379,4304.41841606209
"176","474",31540,38710,-0.856394144362579,-0.365509579835979,"aug",0,1,1507.72931797714,33047.7293179771,5662.27068202286
"177","475",30880,38070,-1.45105884235817,-1.45971446188811,"aug",0,1,1021.49226613322,31901.4922661332,6168.50773386678
"178","476",31520,38580,-0.874414286726081,-0.587769946502822,"aug",0,1,1476.01237987056,32996.0123798706,5583.98762012944
"179","485",32140,39140,-0.315789873457497,0.369659325292795,"aug",0,1,1762.85416969328,33902.8541696933,5237.14583030672
"180","486",31640,38200,-0.766293432545064,-1.23745409522127,"aug",0,1,1269.81534032239,32909.8153403224,5290.18465967761
"181","487",31330,38350,-1.04560563917936,-0.980999825990301,"aug",0,1,1278.37518852459,32608.3751885246,5741.62481147541
"182","488",32620,39240,0.116693543266565,0.540628838113443,"aug",0,1,1789.04635360627,34409.0463536063,4830.95364639373
"183","497",31890,38520,-0.54104165300128,-0.690351654195201,"aug",0,1,1495.93897356832,33385.9389735683,5134.06102643168
"184","53",32900,39240,0.368975536355604,0.540628838113443,"aug",0,1,1791.8567702073,34691.8567702073,4548.1432297927
"185","54",32970,38950,0.432046034627864,0.044817250933573,"aug",0,1,1779.14382591471,34749.1438259147,4200.85617408529
"186","55",32780,39140,0.26085468217459,0.369659325292795,"aug",0,1,1788.23341027725,34568.2334102773,4571.76658972275
"187","56",32680,39150,0.170753970357075,0.386756276574856,"aug",0,1,1786.28765829029,34466.2876582903,4683.7123417097
"188","6",31490,38530,-0.901444500271336,-0.67325470291314,"aug",0,1,1472.40462617237,32962.4046261724,5567.59537382763
"189","7",31640,38410,-0.766293432545064,-0.878418118297922,"aug",0,1,1467.31383760272,33107.3138376027,5302.68616239728
"190","716",33400,40000,0.819479095443172,1.83999713555034,"aug",0,1,2011.04348991828,35411.0434899183,4588.95651008171
"191","725",32540,38390,0.0446129738125561,-0.912612020862044,"aug",0,1,1560.88443010915,34100.8844301092,4289.11556989085
